,ID,Пол,РШО,РВУЗ,Индустрия,Специализация,Опыт работы,Рабочая специализация,Зарплата,Статус успешности,Кадровый статус
115,116,Ж,Прочее,Прочее,Наука,"Продажи, маркетинг и менеджмент",Без опыта работы,Маркетинг и финансы,216000.0,Успешен,Высокооплачиваемая работа
116,117,M,Центральный регион,Центральный регион,Продажи и маркетинг,"Продажи, маркетинг и менеджмент",С опытом работы,Маркетинг и финансы,300000.0,Успешен,Высокооплачиваемая работа
117,118,M,Прочее,Прочее,Наука,Наука и техника,Без опыта работы,Маркетинг и финансы,240000.0,Успешен,Высокооплачиваемая работа
118,119,M,Центральный регион,Центральный регион,Наука,Наука и техника,С опытом работы,Маркетинг и кадры,276000.0,Успешен,Высокооплачиваемая работа
119,120,M,Центральный регион,Центральный регион,Продажи и маркетинг,"Продажи, маркетинг и менеджмент",С опытом работы,Маркетинг и финансы,940000.0,Успешен,Высокооплачиваемая работа
121,122,Ж,Центральный регион,Прочее,Наука,Наука и техника,С опытом работы,Маркетинг и кадры,250000.0,Успешен,Высокооплачиваемая работа
122,123,Ж,Центральный регион,Центральный регион,Искусство и дизайн,"Продажи, маркетинг и менеджмент",С опытом работы,Маркетинг и финансы,236000.0,Успешен,Высокооплачиваемая работа
123,124,M,Прочее,Прочее,Продажи и маркетинг,"Продажи, маркетинг и менеджмент",С опытом работы,Маркетинг и кадры,240000.0,Успешен,Высокооплачиваемая работа
124,125,M,Центральный регион,Центральный регион,Наука,Прочее,С опытом работы,Маркетинг и кадры,250000.0,Успешен,Высокооплачиваемая работа
125,126,Ж,Центральный регион,Центральный регион,Продажи и маркетинг,"Продажи, маркетинг и менеджмент",Без опыта работы,Маркетинг и финансы,350000.0,Успешен,Высокооплачиваемая работа
126,127,Ж,Прочее,Прочее,Наука,Наука и техника,С опытом работы,Маркетинг и финансы,210000.0,Успешен,Высокооплачиваемая работа
127,128,Ж,Прочее,Прочее,Наука,"Продажи, маркетинг и менеджмент",Без опыта работы,Маркетинг и кадры,250000.0,Успешен,Высокооплачиваемая работа
128,129,M,Центральный регион,Центральный регион,Наука,Наука и техника,С опытом работы,Маркетинг и кадры,400000.0,Успешен,Высокооплачиваемая работа
129,130,M,Центральный регион,Прочее,Продажи и маркетинг,"Продажи, маркетинг и менеджмент",С опытом работы,Маркетинг и финансы,250000.0,Успешен,Высокооплачиваемая работа
131,132,Ж,Прочее,Прочее,Наука,Прочее,С опытом работы,Маркетинг и финансы,360000.0,Успешен,Высокооплачиваемая работа
132,133,M,Прочее,Прочее,Продажи и маркетинг,"Продажи, маркетинг и менеджмент",С опытом работы,Маркетинг и кадры,300000.0,Успешен,Высокооплачиваемая работа
133,134,M,Центральный регион,Прочее,Продажи и маркетинг,"Продажи, маркетинг и менеджмент",С опытом работы,Маркетинг и кадры,250000.0,Успешен,Высокооплачиваемая работа
134,135,Ж,Центральный регион,Прочее,Продажи и маркетинг,"Продажи, маркетинг и менеджмент",С опытом работы,Маркетинг и финансы,250000.0,Успешен,Высокооплачиваемая работа
135,136,Ж,Центральный регион,Прочее,Наука,"Продажи, маркетинг и менеджмент",Без опыта работы,Маркетинг и кадры,200000.0,Успешен,Среднеоплачиваемая работа
137,138,M,Прочее,Центральный регион,Продажи и маркетинг,"Продажи, маркетинг и менеджмент",Без опыта работы,Маркетинг и кадры,225000.0,Успешен,Высокооплачиваемая работа
138,139,Ж,Прочее,Прочее,Наука,Наука и техника,С опытом работы,Маркетинг и финансы,250000.0,Успешен,Высокооплачиваемая работа
139,140,M,Центральный регион,Центральный регион,Продажи и маркетинг,"Продажи, маркетинг и менеджмент",С опытом работы,Маркетинг и финансы,220000.0,Успешен,Высокооплачиваемая работа
140,141,M,Центральный регион,Прочее,Продажи и маркетинг,"Продажи, маркетинг и менеджмент",С опытом работы,Маркетинг и финансы,265000.0,Успешен,Высокооплачиваемая работа
142,143,M,Центральный регион,Прочее,Наука,Наука и техника,С опытом работы,Маркетинг и финансы,260000.0,Успешен,Высокооплачиваемая работа
143,144,M,Прочее,Прочее,Продажи и маркетинг,"Продажи, маркетинг и менеджмент",Без опыта работы,Маркетинг и финансы,300000.0,Успешен,Высокооплачиваемая работа
145,146,M,Прочее,Прочее,Наука,Наука и техника,Без опыта работы,Маркетинг и кадры,400000.0,Успешен,Высокооплачиваемая работа
146,147,M,Центральный регион,Прочее,Наука,"Продажи, маркетинг и менеджмент",Без опыта работы,Маркетинг и кадры,233000.0,Успешен,Высокооплачиваемая работа
147,148,M,Центральный регион,Центральный регион,Продажи и маркетинг,"Продажи, маркетинг и менеджмент",Без опыта работы,Маркетинг и финансы,300000.0,Успешен,Высокооплачиваемая работа
148,149,Ж,Центральный регион,Центральный регион,Искусство и дизайн,Прочее,Без опыта работы,Маркетинг и финансы,240000.0,Успешен,Высокооплачиваемая работа
150,151,M,Центральный регион,Центральный регион,Наука,Наука и техника,С опытом работы,Маркетинг и финансы,690000.0,Успешен,Высокооплачиваемая работа
151,152,M,Центральный регион,Центральный регион,Продажи и маркетинг,"Продажи, маркетинг и менеджмент",Без опыта работы,Маркетинг и финансы,270000.0,Успешен,Высокооплачиваемая работа
152,153,Ж,Прочее,Центральный регион,Наука,Наука и техника,Без опыта работы,Маркетинг и финансы,240000.0,Успешен,Высокооплачиваемая работа
153,154,M,Прочее,Прочее,Наука,Наука и техника,С опытом работы,Маркетинг и финансы,340000.0,Успешен,Высокооплачиваемая работа
154,155,M,Центральный регион,Прочее,Наука,"Продажи, маркетинг и менеджмент",С опытом работы,Маркетинг и финансы,250000.0,Успешен,Высокооплачиваемая работа
156,157,M,Центральный регион,Центральный регион,Наука,Наука и техника,С опытом работы,Маркетинг и кадры,255000.0,Успешен,Высокооплачиваемая работа
157,158,M,Центральный регион,Центральный регион,Продажи и маркетинг,"Продажи, маркетинг и менеджмент",Без опыта работы,Маркетинг и финансы,300000.0,Успешен,Высокооплачиваемая работа
160,161,M,Центральный регион,Центральный регион,Наука,Наука и техника,С опытом работы,Маркетинг и кадры,300000.0,Успешен,Высокооплачиваемая работа
162,163,M,Центральный регион,Прочее,Продажи и маркетинг,"Продажи, маркетинг и менеджмент",С опытом работы,Маркетинг и финансы,285000.0,Успешен,Высокооплачиваемая работа
163,164,M,Прочее,Прочее,Наука,Наука и техника,Без опыта работы,Маркетинг и финансы,500000.0,Успешен,Высокооплачиваемая работа
164,165,Ж,Центральный регион,Центральный регион,Продажи и маркетинг,"Продажи, маркетинг и менеджмент",Без опыта работы,Маркетинг и финансы,250000.0,Успешен,Высокооплачиваемая работа
166,167,M,Прочее,Прочее,Продажи и маркетинг,"Продажи, маркетинг и менеджмент",С опытом работы,Маркетинг и кадры,240000.0,Успешен,Высокооплачиваемая работа
171,172,M,Прочее,Прочее,Продажи и маркетинг,"Продажи, маркетинг и менеджмент",С опытом работы,Маркетинг и финансы,290000.0,Успешен,Высокооплачиваемая работа
172,173,M,Прочее,Прочее,Продажи и маркетинг,"Продажи, маркетинг и менеджмент",Без опыта работы,Маркетинг и кадры,300000.0,Успешен,Высокооплачиваемая работа
174,175,M,Прочее,Прочее,Наука,Наука и техника,С опытом работы,Маркетинг и финансы,500000.0,Успешен,Высокооплачиваемая работа
176,177,Ж,Центральный регион,Прочее,Продажи и маркетинг,"Продажи, маркетинг и менеджмент",Без опыта работы,Маркетинг и кадры,220000.0,Успешен,Высокооплачиваемая работа
177,178,Ж,Центральный регион,Прочее,Продажи и маркетинг,"Продажи, маркетинг и менеджмент",С опытом работы,Маркетинг и финансы,650000.0,Успешен,Высокооплачиваемая работа
178,179,M,Прочее,Прочее,Наука,Наука и техника,Без опыта работы,Маркетинг и кадры,350000.0,Успешен,Высокооплачиваемая работа
180,181,M,Центральный регион,Прочее,Продажи и маркетинг,"Продажи, маркетинг и менеджмент",С опытом работы,Маркетинг и финансы,265000.0,Успешен,Высокооплачиваемая работа
183,184,M,Центральный регион,Центральный регион,Продажи и маркетинг,"Продажи, маркетинг и менеджмент",Без опыта работы,Маркетинг и кадры,276000.0,Успешен,Высокооплачиваемая работа
185,186,Ж,Центральный регион,Центральный регион,Наука,Прочее,Без опыта работы,Маркетинг и кадры,252000.0,Успешен,Высокооплачиваемая работа
187,188,M,Центральный регион,Центральный регион,Наука,Наука и техника,С опытом работы,Маркетинг и финансы,280000.0,Успешен,Высокооплачиваемая работа
191,192,M,Прочее,Центральный регион,Наука,"Продажи, маркетинг и менеджмент",Без опыта работы,Маркетинг и финансы,264000.0,Успешен,Высокооплачиваемая работа
192,193,M,Центральный регион,Центральный регион,Продажи и маркетинг,"Продажи, маркетинг и менеджмент",С опытом работы,Маркетинг и финансы,270000.0,Успешен,Высокооплачиваемая работа
193,194,Ж,Центральный регион,Центральный регион,Искусство и дизайн,Прочее,С опытом работы,Маркетинг и кадры,300000.0,Успешен,Высокооплачиваемая работа
195,196,M,Центральный регион,Центральный регион,Продажи и маркетинг,"Продажи, маркетинг и менеджмент",С опытом работы,Маркетинг и кадры,275000.0,Успешен,Высокооплачиваемая работа
196,197,M,Прочее,Прочее,Наука,Наука и техника,С опытом работы,Маркетинг и финансы,250000.0,Успешен,Высокооплачиваемая работа
197,198,Ж,Прочее,Прочее,Наука,Наука и техника,Без опыта работы,Маркетинг и кадры,260000.0,Успешен,Высокооплачиваемая работа
199,200,M,Прочее,Прочее,Продажи и маркетинг,"Продажи, маркетинг и менеджмент",Без опыта работы,Маркетинг и кадры,265000.0,Успешен,Высокооплачиваемая работа
200,201,M,Прочее,Прочее,Продажи и маркетинг,"Продажи, маркетинг и менеджмент",Без опыта работы,Маркетинг и финансы,300000.0,Успешен,Высокооплачиваемая работа
202,203,M,Центральный регион,Центральный регион,Наука,Наука и техника,Без опыта работы,Маркетинг и кадры,240000.0,Успешен,Высокооплачиваемая работа
203,204,M,Прочее,Прочее,Продажи и маркетинг,"Продажи, маркетинг и менеджмент",Без опыта работы,Маркетинг и кадры,260000.0,Успешен,Высокооплачиваемая работа
204,205,Ж,Прочее,Прочее,Продажи и маркетинг,"Продажи, маркетинг и менеджмент",С опытом работы,Маркетинг и финансы,210000.0,Успешен,Высокооплачиваемая работа
205,206,M,Прочее,Прочее,Продажи и маркетинг,"Продажи, маркетинг и менеджмент",Без опыта работы,Маркетинг и финансы,250000.0,Успешен,Высокооплачиваемая работа
207,208,M,Центральный регион,Прочее,Продажи и маркетинг,"Продажи, маркетинг и менеджмент",С опытом работы,Маркетинг и финансы,300000.0,Успешен,Высокооплачиваемая работа
209,210,M,Центральный регион,Центральный регион,Продажи и маркетинг,"Продажи, маркетинг и менеджмент",Без опыта работы,Маркетинг и финансы,216000.0,Успешен,Высокооплачиваемая работа
210,211,M,Прочее,Прочее,Продажи и маркетинг,"Продажи, маркетинг и менеджмент",Без опыта работы,Маркетинг и финансы,400000.0,Успешен,Высокооплачиваемая работа
211,212,M,Прочее,Прочее,Наука,Наука и техника,Без опыта работы,Маркетинг и финансы,275000.0,Успешен,Высокооплачиваемая работа
212,213,M,Прочее,Прочее,Продажи и маркетинг,"Продажи, маркетинг и менеджмент",С опытом работы,Маркетинг и финансы,295000.0,Успешен,Высокооплачиваемая работа
213,214,Ж,Прочее,Прочее,Продажи и маркетинг,"Продажи, маркетинг и менеджмент",Без опыта работы,Маркетинг и кадры,204000.0,Успешен,Высокооплачиваемая работа
