,ID,Пол,Опыт работы,Индустрия,Специальность
117,118,M,Без опыта работы,Наука и техника,Наука
118,119,M,С опытом работы,Наука и техника,Наука
119,120,M,С опытом работы,"Продажи, маркетинг и менеджмент",Продажи и маркетинг
120,121,M,Без опыта работы,"Продажи, маркетинг и менеджмент",Наука
121,122,Ж,С опытом работы,Наука и техника,Наука
122,123,Ж,С опытом работы,"Продажи, маркетинг и менеджмент",Искусство и дизайн
123,124,M,С опытом работы,"Продажи, маркетинг и менеджмент",Продажи и маркетинг
124,125,M,С опытом работы,Прочее,Наука
125,126,Ж,Без опыта работы,"Продажи, маркетинг и менеджмент",Продажи и маркетинг
126,127,Ж,С опытом работы,Наука и техника,Наука
127,128,Ж,Без опыта работы,"Продажи, маркетинг и менеджмент",Наука
128,129,M,С опытом работы,Наука и техника,Наука
129,130,M,С опытом работы,"Продажи, маркетинг и менеджмент",Продажи и маркетинг
130,131,M,Без опыта работы,"Продажи, маркетинг и менеджмент",Продажи и маркетинг
131,132,Ж,С опытом работы,Прочее,Наука
132,133,M,С опытом работы,"Продажи, маркетинг и менеджмент",Продажи и маркетинг
133,134,M,С опытом работы,"Продажи, маркетинг и менеджмент",Продажи и маркетинг
134,135,Ж,С опытом работы,"Продажи, маркетинг и менеджмент",Продажи и маркетинг
135,136,Ж,Без опыта работы,"Продажи, маркетинг и менеджмент",Наука
136,137,Ж,Без опыта работы,"Продажи, маркетинг и менеджмент",Искусство и дизайн
137,138,M,Без опыта работы,"Продажи, маркетинг и менеджмент",Продажи и маркетинг
138,139,Ж,С опытом работы,Наука и техника,Наука
139,140,M,С опытом работы,"Продажи, маркетинг и менеджмент",Продажи и маркетинг
140,141,M,С опытом работы,"Продажи, маркетинг и менеджмент",Продажи и маркетинг
141,142,M,Без опыта работы,"Продажи, маркетинг и менеджмент",Наука
142,143,M,С опытом работы,Наука и техника,Наука
143,144,M,Без опыта работы,"Продажи, маркетинг и менеджмент",Продажи и маркетинг
144,145,M,Без опыта работы,"Продажи, маркетинг и менеджмент",Искусство и дизайн
145,146,M,Без опыта работы,Наука и техника,Наука
146,147,M,Без опыта работы,"Продажи, маркетинг и менеджмент",Наука
147,148,M,Без опыта работы,"Продажи, маркетинг и менеджмент",Продажи и маркетинг
148,149,Ж,Без опыта работы,Прочее,Искусство и дизайн
149,150,M,С опытом работы,"Продажи, маркетинг и менеджмент",Искусство и дизайн
150,151,M,С опытом работы,Наука и техника,Наука
151,152,M,Без опыта работы,"Продажи, маркетинг и менеджмент",Продажи и маркетинг
152,153,Ж,Без опыта работы,Наука и техника,Наука
153,154,M,С опытом работы,Наука и техника,Наука
154,155,M,С опытом работы,"Продажи, маркетинг и менеджмент",Наука
155,156,M,С опытом работы,"Продажи, маркетинг и менеджмент",Продажи и маркетинг
156,157,M,С опытом работы,Наука и техника,Наука
157,158,M,Без опыта работы,"Продажи, маркетинг и менеджмент",Продажи и маркетинг
158,159,M,Без опыта работы,Наука и техника,Наука
159,160,M,Без опыта работы,"Продажи, маркетинг и менеджмент",Продажи и маркетинг
160,161,M,С опытом работы,Наука и техника,Наука
161,162,M,Без опыта работы,"Продажи, маркетинг и менеджмент",Продажи и маркетинг
162,163,M,С опытом работы,"Продажи, маркетинг и менеджмент",Продажи и маркетинг
163,164,M,Без опыта работы,Наука и техника,Наука
164,165,Ж,Без опыта работы,"Продажи, маркетинг и менеджмент",Продажи и маркетинг
165,166,Ж,Без опыта работы,"Продажи, маркетинг и менеджмент",Продажи и маркетинг
166,167,M,С опытом работы,"Продажи, маркетинг и менеджмент",Продажи и маркетинг
167,168,M,С опытом работы,Наука и техника,Наука
168,169,Ж,С опытом работы,"Продажи, маркетинг и менеджмент",Продажи и маркетинг
169,170,M,Без опыта работы,Наука и техника,Наука
170,171,Ж,Без опыта работы,"Продажи, маркетинг и менеджмент",Продажи и маркетинг
171,172,M,С опытом работы,"Продажи, маркетинг и менеджмент",Продажи и маркетинг
172,173,M,Без опыта работы,"Продажи, маркетинг и менеджмент",Продажи и маркетинг
173,174,Ж,Без опыта работы,Наука и техника,Наука
174,175,M,С опытом работы,Наука и техника,Наука
175,176,M,Без опыта работы,Наука и техника,Наука
176,177,Ж,Без опыта работы,"Продажи, маркетинг и менеджмент",Продажи и маркетинг
177,178,Ж,С опытом работы,"Продажи, маркетинг и менеджмент",Продажи и маркетинг
178,179,M,Без опыта работы,Наука и техника,Наука
179,180,Ж,Без опыта работы,Наука и техника,Наука
180,181,M,С опытом работы,"Продажи, маркетинг и менеджмент",Продажи и маркетинг
181,182,M,Без опыта работы,Наука и техника,Наука
182,183,M,С опытом работы,Прочее,Искусство и дизайн
183,184,M,Без опыта работы,"Продажи, маркетинг и менеджмент",Продажи и маркетинг
184,185,Ж,Без опыта работы,"Продажи, маркетинг и менеджмент",Продажи и маркетинг
185,186,Ж,Без опыта работы,Прочее,Наука
186,187,Ж,Без опыта работы,"Продажи, маркетинг и менеджмент",Продажи и маркетинг
187,188,M,С опытом работы,Наука и техника,Наука
188,189,M,Без опыта работы,"Продажи, маркетинг и менеджмент",Продажи и маркетинг
189,190,Ж,Без опыта работы,"Продажи, маркетинг и менеджмент",Продажи и маркетинг
191,192,M,Без опыта работы,"Продажи, маркетинг и менеджмент",Наука
192,193,M,С опытом работы,"Продажи, маркетинг и менеджмент",Продажи и маркетинг
193,194,Ж,С опытом работы,Прочее,Искусство и дизайн
194,195,M,Без опыта работы,"Продажи, маркетинг и менеджмент",Продажи и маркетинг
195,196,M,С опытом работы,"Продажи, маркетинг и менеджмент",Продажи и маркетинг
196,197,M,С опытом работы,Наука и техника,Наука
197,198,Ж,Без опыта работы,Наука и техника,Наука
198,199,Ж,Без опыта работы,Прочее,Продажи и маркетинг
199,200,M,Без опыта работы,"Продажи, маркетинг и менеджмент",Продажи и маркетинг
200,201,M,Без опыта работы,"Продажи, маркетинг и менеджмент",Продажи и маркетинг
201,202,M,Без опыта работы,"Продажи, маркетинг и менеджмент",Наука
202,203,M,Без опыта работы,Наука и техника,Наука
203,204,M,Без опыта работы,"Продажи, маркетинг и менеджмент",Продажи и маркетинг
204,205,Ж,С опытом работы,"Продажи, маркетинг и менеджмент",Продажи и маркетинг
205,206,M,Без опыта работы,"Продажи, маркетинг и менеджмент",Продажи и маркетинг
206,207,M,Без опыта работы,"Продажи, маркетинг и менеджмент",Наука
207,208,M,С опытом работы,"Продажи, маркетинг и менеджмент",Продажи и маркетинг
208,209,Ж,Без опыта работы,"Продажи, маркетинг и менеджмент",Наука
209,210,M,Без опыта работы,"Продажи, маркетинг и менеджмент",Продажи и маркетинг
210,211,M,Без опыта работы,"Продажи, маркетинг и менеджмент",Продажи и маркетинг
211,212,M,Без опыта работы,Наука и техника,Наука
212,213,M,С опытом работы,"Продажи, маркетинг и менеджмент",Продажи и маркетинг
213,214,Ж,Без опыта работы,"Продажи, маркетинг и менеджмент",Продажи и маркетинг
214,215,M,Без опыта работы,"Продажи, маркетинг и менеджмент",Наука
